"Subfamily","Tribe","Genus","Species","Taxon","FL","GA","SpeciesGroup","Binomial","BinomialAuthority","Subspecies","Trinomial","TrinomialAuthority","Author","Year","ChangedComb","TypeLocalityCountry","Images","Text","Source","DBB_Notes","MPN_Notes","NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","GB"
"Amblyoponinae","","Prionopelta","amabilis","Prionopelta amabilis",0,0,"",NA,"Borgmeier, 1949","Borgmeier",1949,"","Costa Rica","Present","","http://www.antwiki.org/wiki/Prionopelta amabilis",NA,NA,NA,"need representative for genus","Alternate for Prionopelta antillana",621482,NA,"KU671409","KU672033","KU671562","KU671511",NA,NA,"KU671460","KU671618",NA,"KU671681","KU671744",1
"Amblyoponinae","","Prionopelta","antillana","Prionopelta antillana",1,0,"",NA,"Forel, 1909","Forel",1909,"","Antilles","Present","","http://www.antwiki.org/wiki/Prionopelta antillana",NA,NA,NA,"need representative for genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Amblyoponinae","","Stigmatomma","pallipes","Stigmatomma pallipes",1,1,"",NA,"(Haldeman, 1844)","Haldeman",1844,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Stigmatomma pallipes",NA,NA,NA,"",NA,231980,"AY703487","AY703554","DQ352966","AY233594","AY703755","DQ353291","EF013219","EF013381","KJ523366","KJ523371","KJ523716","KJ523633",1
"Dolichoderinae","","Dolichoderus","mariae","Dolichoderus mariae",1,1,"",NA,"Forel, 1885","Forel",1885,"","United States","Present","","http://www.antwiki.org/wiki/Dolichoderus mariae",NA,NA,NA,"not important","Dropped only sequence COI because was not grouping with D pustulatus which had a lot of seqs KR928949",609406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dolichoderus","plagiatus","Dolichoderus plagiatus",0,1,"",NA,"(Mayr, 1870)","Mayr",1870,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dolichoderus plagiatus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dolichoderus","pustulatus","Dolichoderus pustulatus",1,1,"",NA,"Mayr, 1886","Mayr",1886,"","United States","Present","","http://www.antwiki.org/wiki/Dolichoderus pustulatus",NA,NA,NA,"not important",NA,609426,"FJ939760","FJ939792","FJ939824","KR829181","KR829554",NA,"FJ940060","FJ939963","FJ939859","FJ939913","KJ523685","KJ523602",1
"Dolichoderinae","","Dolichoderus","taschenbergi","Dolichoderus taschenbergi",0,1,"",NA,"(Mayr, 1866)","Mayr",1866,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dolichoderus taschenbergi",NA,NA,NA,"not important","Dropped only sequence COI because was not grouping with D pustulatus which had a lot of seqs KR933105",609460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","bossutus","Dorymyrmex bossutus",1,1,"",NA,"(Trager, 1988)","Trager",1988,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex bossutus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","bureni","Dorymyrmex bureni",1,1,"",NA,"(Trager, 1988)","Trager",1988,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex bureni",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","elegans","Dorymyrmex elegans",1,1,"",NA,"(Trager, 1988)","Trager",1988,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex elegans",NA,NA,NA,"",NA,369126,"DQ353499","DQ353633","DQ352955","DQ353062","DQ353155","DQ353369",NA,NA,NA,NA,NA,NA,1
"Dolichoderinae","","Dorymyrmex","flavopectus","Dorymyrmex flavopectus",1,0,"",NA,"Smith, M.R., 1944","Smith, M.R.",1944,"","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex flavopectus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","flavus","Dorymyrmex flavus",0,1,"",NA,"McCook, 1879","McCook",1879,"","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex flavus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","grandulus","Dorymyrmex grandulus",1,1,"",NA,"(Forel, 1922)","Forel",1922,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex grandulus",NA,NA,NA,"",NA,609551,NA,NA,NA,NA,NA,"KM538013",NA,NA,NA,NA,NA,NA,1
"Dolichoderinae","","Dorymyrmex","reginicula","Dorymyrmex reginicula",1,1,"",NA,"(Trager, 1988)","Trager",1988,"Yes","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex reginicula",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Dorymyrmex","smithi","Dorymyrmex smithi",1,1,"",NA,"Cole, 1936","Cole",1936,"","United States","Present","","http://www.antwiki.org/wiki/Dorymyrmex smithi",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Forelius","mccooki","Forelius mccooki",0,1,"",NA,"(McCook, 1879)","McCook",1879,"Yes","United States","Present","","http://www.antwiki.org/wiki/Forelius mccooki",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Forelius","pruinosus","Forelius pruinosus",1,1,"",NA,"(Roger, 1863)","Roger",1863,"Yes","Cuba","Present","Present","http://www.antwiki.org/wiki/Forelius pruinosus",NA,NA,NA,"",NA,411751,"EF012866","EF012994","EF013122","EF013702","EF013574","HQ207390","EF013262","EF013424","FJ939864","FJ939918",NA,NA,1
"Dolichoderinae","","Linepithema","humile","Linepithema humile",1,1,"",NA,"(Mayr, 1868)","Mayr",1868,"Yes","Argentina","Present","Present","http://www.antwiki.org/wiki/Linepithema humile",NA,NA,NA,"",NA,83485,"EF012875","EF013003","AY525327","FJ161882","FJ161830","FJ161727","EF013277","EF013439","FJ939872","FJ939926",NA,NA,1
"Dolichoderinae","","Ochetellus","glaber","Ochetellus glaber",1,0,"",NA,"(Mayr, 1862)","Mayr",1862,"Yes","Australia","Present","","http://www.antwiki.org/wiki/Ochetellus glaber",NA,NA,NA,"",NA,255795,"DQ353491","DQ353588","DQ352948","DQ353058","DQ353154","DQ353333",NA,NA,NA,NA,NA,NA,1
"Dolichoderinae","","Tapinoma","litorale","Tapinoma litorale",1,0,"",NA,"Wheeler, W.M., 1905","Wheeler, W.M.",1905,"","Bahamas","Present","Present","http://www.antwiki.org/wiki/Tapinoma litorale",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Tapinoma","melanocephalum","Tapinoma melanocephalum",1,1,"",NA,"(Fabricius, 1793)","Fabricius",1793,"Yes","French Guiana","Present","Present","http://www.antwiki.org/wiki/Tapinoma melanocephalum",NA,NA,NA,"",NA,219810,"FJ939774","FJ939806","FJ939838","KM579349","KM597399","KX054892","FJ940074","FJ939977","FJ939887","FJ939941","KM579070",NA,1
"Dolichoderinae","","Tapinoma","sessile","Tapinoma sessile",1,1,"",NA,"(Say, 1836)","Say",1836,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Tapinoma sessile",NA,NA,NA,"",NA,29039,"EF012938","EF013066","EF013194","FJ161912","EF013646","FJ161757","EF013353","EF013515","FJ939888","FJ939942",NA,NA,1
"Dolichoderinae","","Technomyrmex","difficilis","Technomyrmex difficilis",1,1,"",NA,"Forel, 1892","Forel",1892,"","Madagascar","Present","Present","http://www.antwiki.org/wiki/Technomyrmex difficilis",NA,NA,NA,"",NA,411794,"EF012940","EF013068","EF013196","KM579353","KM597403","DQ176116","EF013355","EF013517","FJ939890","FJ939944","KM579074",NA,1
"Dorylinae","","Neivamyrmex","carolinensis","Neivamyrmex carolinensis",1,1,"",NA,"(Emery, 1894)","Emery",1894,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Neivamyrmex carolinensis",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
