"Taxon","Genus","Species","FL","GA","DBB_Notes","MPN_Notes"
"Anochetus mayri","Anochetus","mayri",1,0,"",NA
"Aphaenogaster ashmeadi","Aphaenogaster","ashmeadi",1,1,"",NA
"Aphaenogaster flemingi","Aphaenogaster","flemingi",1,1,"",NA
"Aphaenogaster floridana","Aphaenogaster","floridana",1,1,"",NA
"Aphaenogaster fulva","Aphaenogaster","fulva",1,1,"",NA
"Aphaenogaster lamellidens","Aphaenogaster","lamellidens",1,1,"",NA
"Aphaenogaster mariae","Aphaenogaster","mariae",1,1,"",NA
"Aphaenogaster miamiana","Aphaenogaster","miamiana",1,1,"",NA
"Aphaenogaster carolinensis","Aphaenogaster","carolinensis",1,1,"",NA
"Aphaenogaster tennesseensis","Aphaenogaster","tennesseensis",1,1,"",NA
"Aphaenogaster treatae","Aphaenogaster","treatae",1,1,"",NA
"Aphaenogaster umphreyi","Aphaenogaster","umphreyi",1,1,"",NA
"Brachymyrmex depilis","Brachymyrmex","depilis",1,1,"",NA
"Brachymyrmex heeri","Brachymyrmex","heeri",1,0,"",NA
"Brachymyrmex minutus","Brachymyrmex","minutus",1,0,"not important",NA
"Brachymyrmex obscurior","Brachymyrmex","obscurior",1,0,"not important",NA
"Brachymyrmex patagonicus","Brachymyrmex","patagonicus",1,1,"",NA
"Camponotus caryae","Camponotus","caryae",1,1,"not important",NA
"Camponotus castaneus","Camponotus","castaneus",1,1,"",NA
"Camponotus decipiens","Camponotus","decipiens",1,1,"not important",NA
"Camponotus discolor","Camponotus","discolor",1,1,"not important",NA
"Camponotus floridanus","Camponotus","floridanus",1,1,"",NA
"Colobopsis impressa","Colobopsis","impressa",1,1,"need representative for genus",NA
"Camponotus tortuganus","Camponotus","tortuganus",1,0,"",NA
"Camponotus nearcticus","Camponotus","nearcticus",1,1,"",NA
"Colobopsis obliqua","Colobopsis","obliqua",1,0,"",NA
"Camponotus pennsylvanicus","Camponotus","pennsylvanicus",1,1,"",NA
"Camponotus planatus","Camponotus","planatus",1,0,"",NA
"Colobopsis riehlii","Colobopsis","riehlii",1,0,"",NA
"Camponotus sexguttatus","Camponotus","sexguttatus",1,0,"",NA
"Camponotus snellingi","Camponotus","snellingi",1,1,"not important",NA
"Camponotus socius","Camponotus","socius",1,1,"",NA
"Cardiocondyla emeryi","Cardiocondyla","emeryi",1,0,"",NA
