species,n_records,Notes,,,CurrentName,,Notes
Anochetus mayri,4,,,,Anochetus mayri,,
Aphaenogaster ashmeadi,50,,,,Aphaenogaster ashmeadi,,
Aphaenogaster flemingi,22,,,,Aphaenogaster flemingi,,
Aphaenogaster floridana,51,,,,Aphaenogaster floridana,,
Aphaenogaster fulva,34,,,,Aphaenogaster fulva,,
Aphaenogaster lamellidens,22,,,,Aphaenogaster lamellidens,,
Aphaenogaster mariae,1,,,,Aphaenogaster mariae,,
Aphaenogaster miamiana,183,Aphaenogaster miamiana/carolinensis,,,Aphaenogaster miamiana,,
Aphaenogaster carolinensis,,Aphaenogaster miamiana/carolinensis,,,Aphaenogaster carolinensis,,
Aphaenogaster tennesseensis,5,,,,Aphaenogaster tennesseensis,,
Aphaenogaster treatae,30,,,,Aphaenogaster treatae,,
Aphaenogaster umphreyi,6,,,,Aphaenogaster umphreyi,,
Brachymyrmex depilis,206,,,,Brachymyrmex depilis,,
Brachymyrmex heeri,1,,,,Brachymyrmex heeri,,
Brachymyrmex minutus,9,,,,Brachymyrmex minutus,,
Brachymyrmex obscurior,93,,,,Brachymyrmex obscurior,,
Brachymyrmex patagonicus,40,,,,Brachymyrmex patagonicus,,
Camponotus caryae,1,,,,Camponotus caryae,,
Camponotus castaneus,71,,,,Camponotus castaneus,,
Camponotus decipiens,57,,,,Camponotus decipiens,,
Camponotus discolor,6,,,,Camponotus discolor,,
Camponotus floridanus,272,,,,Camponotus floridanus,,
Camponotus impressus,74,,,,Colobopsis impressa,,Bolton List on AntWiki and AntWeb
Camponotus inaequalis,36,Doug suggested using Camponotus tortuganus instead,,,Camponotus tortuganus,,"Bolton List on AntWiki and AntWeb have as not valid, but do not provide alternative"
Camponotus nearcticus,32,,,,Camponotus nearcticus,,
Camponotus obliquus,8,,,,Colobopsis obliqua,,Bolton List on AntWiki and AntWeb
Camponotus pennsylvanicus,21,,,,Camponotus pennsylvanicus,,
Camponotus planatus,40,,,,Camponotus planatus,,
Camponotus riehlii,2,,,,Colobopsis riehlii,,Bolton List on AntWiki and AntWeb
Camponotus sexguttatus,4,,,,Camponotus sexguttatus,,
Camponotus snellingi,36,,,,Camponotus snellingi,,
Camponotus socius,64,,,,Camponotus socius,,
Cardiocondyla emeryi,82,,,,Cardiocondyla emeryi,,
Cardiocondyla mauritanica,12,,,,Cardiocondyla mauritanica,,
Cardiocondyla minutior,58,,,,Cardiocondyla minutior,,
Cardiocondyla obscurior,19,,,,Cardiocondyla obscurior,,
Cardiocondyla venustula,9,,,,Cardiocondyla venustula,,
Cardiocondyla wroughtonii,38,,,,Cardiocondyla wroughtonii,,
Cephalotes varians,8,,,,Cephalotes varians,,
Crematogaster ashmeadi,180,,,,Crematogaster ashmeadi,,
Crematogaster atkinsoni,31,,,,Crematogaster laeviuscula,,Bolton List on AntWiki and AntWeb
Crematogaster cerasi,28,,,,Crematogaster cerasi,,
Crematogaster lineolata,22,,,,Crematogaster lineolata,,
Crematogaster minutissima,72,,,,Crematogaster minutissima,,
Crematogaster missouriensis,8,,,,Crematogaster missouriensis,,
Crematogaster obscurata,1,,,,Crematogaster obscurata,,
Crematogaster pilosa,90,,,,Crematogaster pilosa,,
Crematogaster pinicola,54,,,,Crematogaster pinicola,,
Crematogaster vermiculata,11,,,,Crematogaster vermiculata,,
Cryptopone gilva,21,,,,Cryptopone gilva,,
Cyphomyrmex minutus,107,,,,Cyphomyrmex minutus,,
Cyphomyrmex rimosus,174,,,,Cyphomyrmex rimosus,,
Discothyrea testacea,44,,,,Discothyrea testacea,,
Dolichoderus mariae,1,,,,Dolichoderus mariae,,
Dolichoderus pustulatus,12,,,,Dolichoderus pustulatus,,
Dorymyrmex bossutus,61,,,,Dorymyrmex bossutus,,
Dorymyrmex bureni,262,,,,Dorymyrmex bureni,,
Dorymyrmex elegans,14,,,,Dorymyrmex elegans,,
Dorymyrmex flavopectus,12,,,,Dorymyrmex flavopectus,,
Dorymyrmex grandula,12,Changed from grandula to grandulus,,,Dorymyrmex grandulus,,
Dorymyrmex medeis,20,,,,Dorymyrmex smithi,,Bolton List on AntWiki and AntWeb
Dorymyrmex reginicula,22,,,,Dorymyrmex reginicula,,
Eurhopalothrix floridana,89,,,,Eurhopalothrix floridana,,
Forelius pruinosus,105,,,,Forelius pruinosus,,
Formica archboldi,44,,,,Formica archboldi,,
Formica biophilica,4,,,,Formica biophilica,,
Formica dolosa,18,,,,Formica dolosa,,
Formica pallidefulva,74,,,,Formica pallidefulva,,
Formica subsericea,1,,,,Formica subsericea,,
Gnamptogenys triangularis,5,,,,Gnamptogenys triangularis,,
Hypoponera inexorata,22,,,,Hypoponera inexorata,,
