"NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family"
"369239","KJ860247","KJ860059","DQ352903","KJ861947","KJ861518","DQ353314","KJ860676","KJ859871","KJ861148","KJ860917","KJ861759","KJ860488","Tatuidris tatusia","Tatuidris",NA,"Agroecomyrmecinae","Formicidae"
"1859171",NA,"KU671399","KU672023","KU671552","KU671501",NA,NA,"KU671450","KU671603",NA,"KU671666","KU671729","Adetomyrma bressleri","Adetomyrma",NA,"Amblyoponinae","Formicidae"
"1639816",NA,"KR063404","KR063364","KP280012","KR063384","KR063483",NA,NA,"KU671604",NA,"KU671667","KU671730","Adetomyrma caputleae","Adetomyrma",NA,"Amblyoponinae","Formicidae"
"219765","KJ860244","KJ860056","KJ861331","AY233595","KJ861515",NA,"KJ860673","KJ859868","KJ861141","KJ860910","KJ861752","KJ860481","Amblyopone australis","Amblyopone",NA,"Amblyoponinae","Formicidae"
"602427",NA,"KU671400","KU672024","KU671553","KU671502",NA,NA,"KU671451","KU671605",NA,"KU671668","KU671731","Amblyopone longidens","Amblyopone",NA,"Amblyoponinae","Formicidae"
"1859173",NA,"KU671403","KU672027","KU671556","KU671505",NA,NA,"KU671454","KU671609",NA,"KU671672","KU671735","Bannapone scrobiceps","Bannapone",NA,"Amblyoponinae","Formicidae"
"237752","EF012855","EF012983","DQ352894","DQ353136","EF013563","DQ353277","EF013248","EF013410","KU671610",NA,"KU671673","KU671736","Concoctio concenta","Concoctio",NA,"Amblyoponinae","Formicidae"
"237740","DQ353531","AY325929","DQ352964","KU671557","KU671506","DQ353381",NA,"KU671455","KU671611",NA,"KU671674","KU671737","Myopopone castanea","Myopopone",NA,"Amblyoponinae","Formicidae"
"1639817",NA,"KR063399","KR063359","KM579242","KM597300","KR063489",NA,NA,NA,NA,"KM578963",NA,"Mystrium barrybressleri","Mystrium",NA,"Amblyoponinae","Formicidae"
"613017",NA,"KU671405","KU672029","KU671558","KR063382","KR063448",NA,"KU671456","KU671612",NA,"KU671675","KU671738","Mystrium camillae","Mystrium",NA,"Amblyoponinae","Formicidae"
