GENUS,SPECIES,
Stigmatomma,pallipes,
Dolichoderus,mariae,
Dolichoderus,plagiatus,
Dolichoderus,pustulatus,
Dolichoderus,taschenbergi,
Dorymyrmex,elegans,
Dorymyrmex,flavus,
Dorymyrmex,grandulus,
Dorymyrmex,reginicula,
Dorymyrmex,bossutus,
Dorymyrmex,bureni,
Dorymyrmex,grandulus,
Dorymyrmex,smithi,
Forelius,mccooki,
Forelius,pruinosus,
Linepithema,humile,
Tapinoma,melanocephalum,
Tapinoma,sessile,
Technomyrmex,difficilis,
Neivamyrmex,carolinensis,
Neivamyrmex,nigrescens,
Neivamyrmex,opacithorax,
Neivamyrmex,texanus,
Gnamptogenys,triangularis,
Camponotus,americanus,
Camponotus,caryae,
Camponotus,castaneus,
Camponotus,chromaiodes,
Camponotus,decipiens,
Camponotus,discolor,
Camponotus,floridanus,
Camponotus,nearcticus,
Camponotus,novaeboracensis,changed to novaeboracensis
Camponotus,pennsylvanicus,
Camponotus,snellingi,
Camponotus,socius,
Camponotus,subbarbatus,
Colobopsis,impressa,changed to Colobopsis
Formica,archboldi,
Formica,biophilica,
Formica,difficilis,
Formica,dolosa,
Formica,exsectoides,
Formica,fusca,
Formica,incerta,
Formica,integra,
Formica,obscuriventris,
Formica,pallidefulva,
Formica,subintegra,
Formica,subsericea,
Polyergus,longicornis,
Polyergus,lucidus,
Polyergus,ruber,
Lasius,alienus,
Lasius,claviger,
Lasius,flavus,
Lasius,interjectus,
Lasius,murphyi,
Lasius,nearcticus,
Lasius,neoniger,
Lasius,subglaber,
Lasius,umbratus,
Nylanderia,arenivaga,
Nylanderia,bourbonica,
Nylanderia,concinna,
Nylanderia,faisonensis,
Nylanderia,fulva,
Nylanderia,parvula,
Nylanderia,phantasma,
Nylanderia,vividula,
Nylanderia,wojciki,
Paratrechina,longicornis,
Prenolepis,imparis,
Brachymyrmex,depilis,
Brachymyrmex,patagonicus,
Cyphomyrmex,rimosus,
Trachymyrmex,septentrionalis,
Eurhopalothrix,floridana,
Crematogaster,ashmeadi,
Crematogaster,laeviuscula,Changed as AntWeb has current name for Crematogaster atkinsoni as being Crematogaster laeviuscula
Crematogaster,cerasi,
Crematogaster,lineolata,
Crematogaster,minutissima,
Crematogaster,missouriensis,Changed from missuriensis to missouriensis
Crematogaster,pilosa,
Crematogaster,pinicola,Changed from pinacola to pinicola
Strumigenys,abdita,
Strumigenys,angulata,
Strumigenys,apalachicolensis,
Strumigenys,archboldi,
Strumigenys,boltoni,
Strumigenys,bunki,
Strumigenys,carolinensis,
Strumigenys,clypeata,
Strumigenys,creightoni,
Strumigenys,deyrupi,
Strumigenys,dietrichi,
Strumigenys,eggersi,
Strumigenys,filirrhina,
Strumigenys,hyalina,
Strumigenys,laevinasis,
Strumigenys,louisianae,
Strumigenys,margaritae,
Strumigenys,membranifera,
Strumigenys,metazytes,
Strumigenys,missouriensis,
Strumigenys,ohioensis,
Strumigenys,ornata,
Strumigenys,pergandei,
Strumigenys,pilinasis,
Strumigenys,pulchella,
Strumigenys,reflexa,
Strumigenys,rostrata,
Strumigenys,silvestrii,
Strumigenys,talpa,
Strumigenys,wrayi,
Cardiocondyla,venustula,
Cardiocondyla,nuda,
Cardiocondyla,wroughtonii,
Temnothorax,americanus,
Temnothorax,bradleyi,
Temnothorax,curvispinosus,
Temnothorax,longispinosus,changed from longispinosis to longispinosus
Temnothorax,pergandei,
Temnothorax,schaumii,
Temnothorax,smithi,
Temnothorax,texanus,
Temnothorax,tuscaloosae,
Myrmecina,americana,
Myrmecina,cooperi,
Myrmica,americana,
Myrmica,latifrons,
Myrmica,pinetorum,
Myrmica,punctiventris,
Myrmica,spatulata,
Pogonomyrmex,badius,
Aphaenogaster,ashmeadi,
Aphaenogaster,carolinensis,
Aphaenogaster,flemingi,
Aphaenogaster,floridana,
Aphaenogaster,fulva,
Aphaenogaster,lamellidens,
Aphaenogaster,mariae,
Aphaenogaster,miamiana,
Aphaenogaster,picea,
Aphaenogaster,rudis,
Aphaenogaster,tennesseensis,
Aphaenogaster,treatae,
Aphaenogaster,umphreyi,
Pheidole,adrianoi,
Pheidole,bicarinata,
Pheidole,crassicornis,
Pheidole,davisi,
Pheidole,dentata,
Pheidole,dentigula,
Pheidole,lamia,
Pheidole,littoralis,
Pheidole,metallescens,
Pheidole,morrisi,
Pheidole,obscurithorax,
Pheidole,pilifera,
Pheidole,tetra,
Pheidole,tysoni,
Monomorium,minimum,
Monomorium,pharaonis,
Monomorium,viridum,changed from viride to viridum
Solenopsis,abdita,
Solenopsis,carolinensis,
Solenopsis,geminata,
Solenopsis,globularia,
Solenopsis,invicta,
Solenopsis,molesta,
Solenopsis,pergandei,
Solenopsis,picta,
Solenopsis,richteri,
Solenopsis,tennesseensis,
Solenopsis,texana,
Solenopsis,xyloni,
Stenamma,brevicorne,
Stenamma,diecki,
Stenamma,foveolocephalum,
Stenamma,impar,
Stenamma,meridionale,
Stenamma,schmittii,
Tetramorium,bicarinatum,
Tetramorium,immigrans,
Tetramorium,lanuginosum,
Tetramorium,simillimum,
Tetramorium,tsushimae,
Brachyponera,chinensis,
Cryptopone,gilva,
Hypoponera,inexorata,
Hypoponera,opaciceps,
Hypoponera,opacior,
Odontomachus,brunneus,
Ponera,exotica,
Ponera,pennsylvanica,
Discothyrea,testacea,
Proceratium,chickasaw,
Proceratium,crassicorne,
Proceratium,creek,
Proceratium,croceum,
Proceratium,pergandei,
Proceratium,silaceum,
Pseudomyrmex,pallidus,changed from Pseudomymex to Pseudomyrmex
Pseudomyrmex,ejectus,
Pseudomyrmex,gracilis,
Pheidole,bilimeki,bilimeki and floridana treated as separate by Bolton
Pheidole,floridana,bilimeki and floridana treated as separate by Bolton
Pheidole,navigans,navigans and moerens treated a separate by Bolton
Pheidole,moerens,navigans and moerens treated a separate by Bolton
Pheidole,bilimeki=floridana,bilimeki and floridana treated as separate by Bolton
