Subfamily,Tribe,Genus,Taxon,nuSSU,nuLSU,AbdA,Wg,LR,COI,EF1aF1,EF1aF2,ArgK,CAD,Top1,Ubx,Family,Species,FL,GA,SpeciesGroup,Binomial,BinomialAuthority,Subspecies,Trinomial,TrinomialAuthority,Author,Year,ChangedComb,TypeLocalityCountry,Images,Text,Source,DBB_Notes,MPN_Notes,NCBI.ID,GB,Order
Aglyptacros,Aglyptacros,Aglyptacros,Aglyptacros_cf_sulcatus,EF012831,EF012959,EF013087,EF013667,EF013539,NA,EF013217,EF013379,NA,NA,NA,NA,Tiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Amblyoponinae,Prionopelta,Prionopelta,Prionopelta_amabilis,NA,KU671409,KU672033,KU671562,KU671511,NA,NA,KU671460,KU671618,NA,KU671681,KU671744,Formicidae,amabilis,0,0,,NA,Borgmeier, 1949,Borgmeier,1949,,Costa Rica,Present,,http://www.antwiki.org/wiki/Prionopelta amabilis,NA,NA,NA,need representative for genus,Alternate for Prionopelta antillana,621482,1,Hymenoptera
Amblyoponinae,Stigmatomma,Stigmatomma,Stigmatomma_pallipes,AY703487,AY703554,DQ352966,AY233594,AY703755,DQ353291,EF013219,EF013381,KJ523366,KJ523371,KJ523716,KJ523633,Formicidae,pallipes,1,1,,NA,(Haldeman, 1844),Haldeman,1844,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Stigmatomma pallipes,NA,NA,NA,,NA,231980,1,Hymenoptera
Apis,Apis,Apis,Apis_mellifera,AB126807,AY703551,XM_394120,AY703618,AY703752,KP844942,EF013227,EF013389,NM_001011603,XM_393888,XM_396203,NM_001168700,Apidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Aporus,Aporus,Aporus,Aporus_niger,EF012840,EF012968,EF013096,EF013676,EF013548,NA,EF013229,EF013391,NA,KC213228,NA,NA,Pompilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Chalybion,Chalybion,Chalybion,Chalybion_californicum,EF012853,EF012981,EF013109,EF013689,EF013561,KM564907,EF013245,EF013407,NA,NA,NA,NA,Sphecidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Chyphotes,Chyphotes,Chyphotes,Chyphotes_mellipes,AY703485,AY703552,AY703686,AY703619,AY703753,NA,EF013247,EF013409,NA,NA,NA,NA,Bradynobaenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Chyphotes,Chyphotes,Chyphotes,Chyphotes_sp,DQ353548,DQ353573,NA,DQ353144,NA,DQ353285,NA,NA,NA,NA,NA,NA,Bradynobaenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Dasymutilla,Dasymutilla,Dasymutilla,Dasymutilla_aureola,EF012858,EF012986,EF013114,EF013694,EF013566,NA,EF013252,EF013414,NA,NA,NA,NA,Mutillidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Dolichoderinae,Dolichoderus,Dolichoderus,Dolichoderus_pustulatus,FJ939760,FJ939792,FJ939824,KR829181,KR829554,NA,FJ940060,FJ939963,FJ939859,FJ939913,KJ523685,KJ523602,Formicidae,pustulatus,1,1,,NA,Mayr, 1886,Mayr,1886,,United States,Present,,http://www.antwiki.org/wiki/Dolichoderus pustulatus,NA,NA,NA,not important,NA,609426,1,Hymenoptera
Dolichoderinae,Dorymyrmex,Dorymyrmex,Dorymyrmex_elegans,DQ353499,DQ353633,DQ352955,DQ353062,DQ353155,DQ353369,NA,NA,NA,NA,NA,NA,Formicidae,elegans,1,1,,NA,(Trager, 1988),Trager,1988,Yes,United States,Present,,http://www.antwiki.org/wiki/Dorymyrmex elegans,NA,NA,NA,,NA,369126,1,Hymenoptera
Dolichoderinae,Dorymyrmex,Dorymyrmex,Dorymyrmex_grandulus,NA,NA,NA,NA,NA,KM538013,NA,NA,NA,NA,NA,NA,Formicidae,grandulus,1,1,,NA,(Forel, 1922),Forel,1922,Yes,United States,Present,,http://www.antwiki.org/wiki/Dorymyrmex grandulus,NA,NA,NA,,NA,609551,1,Hymenoptera
Dolichoderinae,Forelius,Forelius,Forelius_pruinosus,EF012866,EF012994,EF013122,EF013702,EF013574,HQ207390,EF013262,EF013424,FJ939864,FJ939918,NA,NA,Formicidae,pruinosus,1,1,,NA,(Roger, 1863),Roger,1863,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Forelius pruinosus,NA,NA,NA,,NA,411751,1,Hymenoptera
Dolichoderinae,Linepithema,Linepithema,Linepithema_humile,EF012875,EF013003,AY525327,NA,FJ161830,FJ161727,EF013277,EF013439,FJ939872,FJ939926,NA,NA,Formicidae,humile,1,1,,NA,(Mayr, 1868),Mayr,1868,Yes,Argentina,Present,Present,http://www.antwiki.org/wiki/Linepithema humile,NA,NA,NA,,NA,83485,1,Hymenoptera
Dolichoderinae,Ochetellus,Ochetellus,Ochetellus_glaber,DQ353491,DQ353588,DQ352948,DQ353058,DQ353154,DQ353333,NA,NA,NA,NA,NA,NA,Formicidae,glaber,1,0,,NA,(Mayr, 1862),Mayr,1862,Yes,Australia,Present,,http://www.antwiki.org/wiki/Ochetellus glaber,NA,NA,NA,,NA,255795,1,Hymenoptera
